H;10369661000142;20151229;20151230
V;02290510000176;7089;E;1610550;90000;20151214;20151229
V;02290510000176;9526;E;4972692;100000;20151214;20151230
V;07467822000126;10311;E;503179;24000;20151229;20151229
V;07467822000126;67198;E;13103440;4238000;20151217;20151229
V;07467822000126;67205;E;4773300;2253000;20151217;20151229
V;08789294000194;10502;E;525000;1500000;20151130;20151229
V;08789294000194;11333;E;1601700;528000;20151202;20151229
V;18459628008795;10311;E;503179;1000;20151229;20151229
V;23361306001060;10311;E;503179;10000;20151229;20151229
V;23361306001060;17878;E;7512000;200000;20151125;20151229
V;23361306001060;17917;E;12383000;350000;20151128;20151229
V;47180625002190;10311;E;503179;1000;20151229;20151229
V;47180625002190;19294;E;102774;60000;20151222;20151229
V;47180625002190;38818;E;4950000;1800000;20151228;20151230
V;47180625002190;38819;E;4950000;1800000;20151228;20151230
V;47180625002190;54400;E;10770040;525000;20151209;20151229
V;58133703000178;19321;E;634578;42000;20151210;20151230
V;60744463001080;15000;E;999000;74000;20151214;20151229
V;64858525000226;10311;E;503179;13000;20151229;20151229
V;76719525000305;31500;E;3385839;600000;20151109;20151229
E
